No ,Pertanyaan ,Jawaban,Sumber
1,"Halo, minggu depan kami berangkat umrah nih, apa aja yang perlu disiapin ya?","Halo bapak/ibu, untuk persiapan umrah, bapak/ibu perlu mempersiapkan mental dan fisik dengan memperbanyak istighfar, dzikir, dan doa. Selesaikan tanggung jawab pada keluarga dan pekerjaan, sambung silaturahim, biasakan pola hidup sehat, dan pelajari tata cara ibadah umrah. Jangan lupa untuk menyiapkan bekal yang cukup, dokumen lengkap, dan pakaian yang diperlukan selama perjalanan, termasuk pakaian ihram dan beberapa set pakaian lainnya. Ada hal lain yang bisa saya bantu pak/bu? Halaman: 5-7",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
2,Apa itu umrah?,"Umrah adalah ibadah mengunjungi Baitullah (Ka’bah) dengan melakukan tawaf, sa’i, dan bercukur demi mengharap rida Allah SWT. Apakah ada hal tertentu dari umrah yang bapak/ibu ingin tahu lebih detail? Seperti proses ibadahnya, rukun-rukun nya, biaya nya, atau pun proses persiapannya, InsyaAllah saya siap sedia di sini untuk membantu ibu. Halaman: 61",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
3,Bagaimana hukum umrah menurut para imam?,"Menurut Imam Syafi’i dan Imam Hambali, umrah hukumnya wajib sekali seumur hidup bagi yang mampu. Sedangkan menurut Imam Hanafi dan Imam Malik, umrah hukumnya sunnah muakkadah. Apakah bapak/ibu ingin tahu lebih lanjut tentang pendapat para imam terkait ibadah lainnya? Halaman: 61",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
4,Apa bedanya umrah wajib dan umrah sunat?,"Umrah wajib adalah umrah pertama yang dilakukan seorang Muslim atau umrah yang dilaksanakan karena nadzar. Sedangkan umrah sunat adalah umrah yang dilaksanakan setelah umrah wajib, baik untuk kali kedua dan seterusnya, dan dilakukan bukan karena nadzar. Apakah bapak/ibu ingin tahu lebih detail mengenai pelaksanaan kedua jenis umrah ini? Halaman: 62",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
5,Kapan saja waktu yang tidak disarankan untuk melaksanakan umrah?,"Waktu yang tidak disarankan untuk melaksanakan umrah adalah saat jemaah haji wukuf di Padang Arafah pada hari Arafah (9 Dzulhijjah), hari Nahr (10 Dzulhijjah), dan hari-hari tasyriq (11, 12, 13 Dzulhijjah). Apakah ada waktu tertentu yang bapak/ibu rencanakan untuk umrah dan ingin tahu lebih detail tentang kesesuaian waktunya?",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
6,Apa saja syarat umrah?,"Syarat umrah mencakup lima hal: 1) Islam, 2) Baligh (dewasa), 3) Berakal sehat, 4) Merdeka (bukan hamba sahaya), dan 5) Istit}a’ah (mampu). Apakah ada hal lain mengenai syarat umrah yang ingin bapak/ibu ketahui? (Halaman: 62)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
7,Apa saja rukun umrah?,"Rukun umrah terdiri dari lima hal: 1) Ihram (niat), 2) Tawaf, 3) Sa’i, 4) Bercukur, dan 5) Tertib (melaksanakan rukun umrah secara berurutan). Apakah bapak/ibu ingin penjelasan lebih detail tentang salah satu rukun ini? (Halaman: 63)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
8,Apa saja wajib umrah?,"Wajib umrah adalah berihram dari miqat. Bila kewajiban ini dilanggar, ibadah umrah seseorang tetap sah tapi dia harus membayar dam. Apakah bapak/ibu memerlukan informasi lebih lanjut tentang apa itu miqat? (Halaman: 63)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
9,Apa itu miqat makani?,"Miqat makani adalah batas tempat untuk memulai ihram haji atau umrah. Miqat makani ditentukan sesuai tempat asal jamaah, seperti Zulhulaifah (Abyar Ali) bagi penduduk Madinah. Apakah bapak/ibu ingin tahu lebih detail tentang miqat untuk jamaah dari Indonesia? (Halaman: 70)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
10,Dimana miqat bagi jamaah haji dari Indonesia?,"Untuk jamaah haji gelombang I yang datang dari Madinah, miqatnya adalah Zulhulaifah (Abyar Ali). Sedangkan jamaah gelombang II yang turun di Jeddah, miqatnya bisa di asrama haji embarkasi, di dalam pesawat sebelum melintas Yalamlam/Qarn al-Manazil, atau di Bandar Udara King Abdul Aziz (KAIA) Jeddah. Apakah bapak/ibu memerlukan penjelasan tentang bagaimana cara melakukan niat ihram di miqat? (Halaman: 71)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
11,Apa itu tahallul dalam umrah?,"Tahallul umrah adalah keadaan seseorang setelah melaksanakan semua rukun umrah, sehingga dihalalkan melakukan perbuatan yang sebelumnya dilarang selama berihram. Apakah bapak/ibu ingin tahu lebih lanjut tentang rukun-rukun umrah yang harus dilaksanakan sebelum tahallul? (Halaman: 64)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
12,Bagaimana hukum umrah berulang kali saat haji?,"Menurut Imam Malik dan Ibn Taimiyah, makruh melaksanakan umrah lebih dari satu kali dalam setahun. Namun, Imam Syafi’i dan Imam Hanbali memperbolehkan umrah berulang kali dengan syarat ada jeda minimal sepuluh hari. Apakah bapak/ibu ingin tahu lebih detail tentang pandangan ini? (Halaman: 64)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
13,Apa saja amalan yang dilakukan saat umrah?,"Amalan yang dilakukan saat umrah meliputi: 1) Ihram dari miqat, 2) Tawaf mengelilingi Ka’bah, 3) Sa’i antara Safa dan Marwah, 4) Bercukur atau memotong rambut, dan 5) Tertib dalam melaksanakan urutan ibadah. Apakah bapak/ibu ingin penjelasan lebih detail tentang salah satu amalan ini? (Halaman: 63)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
14,Bagaimana niat ihram umrah?,"Niat ihram umrah dilakukan dengan mengucapkan, ""Labbaika Allahumma Umrah"" atau ""Aku penuhi panggilan-Mu ya Allah untuk berumrah."" Apakah bapak/ibu ingin tahu lebih detail tentang sunnah-sunnah yang dilakukan sebelum ihram? (Halaman: 72)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
15,Apa yang harus dilakukan saat memasuki kota Makkah?,"Saat memasuki kota Makkah, jamaah disarankan memperbanyak doa dan dzikir serta melakukan tawaf qudum (tawaf selamat datang) sebagai sunnah. Apakah bapak/ibu ingin tahu lebih lanjut tentang tata cara tawaf qudum? (Halaman: 152)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
16,Bagaimana cara melaksanakan tawaf?,"Tawaf dilakukan dengan mengelilingi Ka’bah sebanyak tujuh kali putaran, dimulai dari Hajar Aswad dan Ka’bah di sebelah kiri. Disunnahkan berlari-lari kecil pada tiga putaran pertama bagi laki-laki dan berjalan biasa pada empat putaran terakhir. Apakah bapak/ibu ingin tahu lebih detail tentang doa yang dibaca saat tawaf? (Halaman: 82)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
17,Apa saja syarat sah tawaf?,"Syarat sah tawaf meliputi: 1) Suci dari hadas besar dan kecil, 2) Menutup aurat, 3) Tawaf dilakukan di dalam Masjidil Haram, 4) Ka’bah berada di sebelah kiri, dan 5) Memulai tawaf dari Hajar Aswad. Apakah bapak/ibu ingin tahu lebih lanjut tentang sunnah-sunnah tawaf? (Halaman: 82)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
18,Apa saja sunnah-sunnah tawaf?,"Sunnah-sunnah tawaf meliputi: 1) Berlari-lari kecil pada tiga putaran pertama, 2) Berdoa di Multazam setelah tawaf, 3) Menyentuh atau mencium Hajar Aswad jika memungkinkan, dan 4) Melakukan shalat sunnah dua rakaat di belakang Maqam Ibrahim setelah tawaf. Apakah bapak/ibu ingin tahu lebih detail tentang doa-doa yang dibaca saat sunnah tawaf? (Halaman: 83)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
19,Apa itu sa’i?,"Sa’i adalah berjalan bolak-balik antara bukit Safa dan Marwah sebanyak tujuh kali, dimulai dari Safa dan berakhir di Marwah. Apakah bapak/ibu ingin tahu lebih detail tentang tata cara pelaksanaan sa’i? (Halaman: 88)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
20,Bagaimana cara melaksanakan sa’i?,"Sa’i dilakukan dengan memulai dari bukit Safa menuju Marwah, dihitung satu kali, kemudian kembali dari Marwah ke Safa, dihitung dua kali, dan seterusnya hingga tujuh kali perjalanan. Disunnahkan membaca doa dan dzikir sepanjang sa’i. Apakah bapak/ibu ingin tahu lebih lanjut tentang doa-doa yang dibaca saat sa’i? (Halaman: 88)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
21,Apa saja syarat sah sa’i?,Syarat sah sa’i adalah: 1) Didahului dengan tawaf; 2) Dimulai dari bukit Safa dan berakhir di bukit Marwah; 3) Menyempurnakan tujuh kali perjalanan; 4) Dilaksanakan di tempat sa’i. Apakah ada hal lain mengenai sa’i yang ingin bapak/ibu ketahui? (Halaman: 88-89),Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
22,Apa itu bercukur dalam umrah?,"Bercukur dalam umrah adalah memotong rambut setelah melaksanakan tawaf dan sa’i. Untuk laki-laki, disunnahkan mencukur gundul atau memendekkan rambut, sementara perempuan cukup memotong sebagian rambut. Apakah bapak/ibu ingin tahu lebih lanjut tentang tata cara bercukur? (Halaman: 100-101)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
23,Bagaimana cara melakukan tahallul dalam umrah?,Tahallul dalam umrah dilakukan dengan bercukur atau memotong rambut setelah menyelesaikan tawaf dan sa’i. Ini menandakan selesainya masa ihram dan dihalalkannya kembali perbuatan yang sebelumnya dilarang. Ada hal lain yang bapak/ibu ingin tanyakan tentang tahallul? (Halaman: 102),Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
24,Apa itu dam dalam konteks umrah?,"Dam adalah denda yang dikenakan untuk pelanggaran tertentu dalam pelaksanaan haji atau umrah, seperti tidak mematuhi aturan ihram atau miqat. Dam bisa berupa penyembelihan hewan atau puasa sebagai gantinya. Apakah bapak/ibu ingin tahu lebih lanjut tentang jenis-jenis dam? (Halaman: 103)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
25,Bagaimana cara menghindari pelanggaran larangan ihram?,"Untuk menghindari pelanggaran larangan ihram, pastikan mengikuti semua ketentuan seperti tidak memakai pakaian berjahit, tidak menggunakan wangi-wangian, dan menjaga kebersihan diri tanpa memotong rambut atau kuku. Ada hal lain yang ingin bapak/ibu tanyakan tentang larangan ihram? (Halaman: 76-77)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
26,Apa saja larangan saat ihram?,"Larangan saat ihram meliputi: 1) Memakai pakaian berjahit, 2) Menggunakan wangi-wangian, 3) Memotong kuku atau rambut, 4) Berburu, 5) Melakukan hubungan suami istri, dan 6) Menikah. Ada hal spesifik mengenai larangan ihram yang ingin bapak/ibu ketahui lebih lanjut? (Halaman: 76-77)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
27,Apa yang boleh dilakukan saat ihram?,"Saat ihram, diperbolehkan untuk mandi, menyikat gigi, memakai kacamata atau jam tangan, dan bernaung di bawah payung atau tenda. Apakah ada hal lain mengenai aktivitas yang diperbolehkan saat ihram yang ingin bapak/ibu tanyakan? (Halaman: 77)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
28,Bagaimana cara mengganti niat ihram?,"Jika terjadi perubahan niat dalam ihram, seperti dari umrah ke haji atau sebaliknya, niat baru harus segera diucapkan. Misalnya, ""Labbaika Hajjan"" untuk haji atau ""Labbaika Umratan"" untuk umrah. Ada hal lain yang ingin bapak/ibu tanyakan tentang perubahan niat ini? (Halaman: 72)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
29,Apa itu talbiyah?,"Talbiyah adalah bacaan yang diucapkan oleh jamaah haji atau umrah saat memasuki ihram, yang berbunyi ""Labbaik Allahumma Labbaik, Labbaika Laa Syarika Laka Labbaik."" Apakah bapak/ibu ingin tahu lebih lanjut tentang makna talbiyah? (Halaman: 73)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
30,Bagaimana bacaan talbiyah yang benar?,"Bacaan talbiyah yang benar adalah: ""Labbaik Allahumma Labbaik, Labbaika Laa Syarika Laka Labbaik, Innal Hamda Wanni’mata Laka Wal Mulk, Laa Syarika Lak."" Apakah bapak/ibu ingin tahu kapan waktu terbaik untuk membaca talbiyah? (Halaman: 73)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
31,Kapan waktu yang tepat untuk membaca talbiyah?,Talbiyah sebaiknya dibaca terus-menerus sejak niat ihram sampai mulai tawaf di Ka'bah. Disunnahkan membaca talbiyah dengan suara lantang. Ada hal lain yang ingin bapak/ibu ketahui tentang bacaan ini? (Halaman: 74),Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
32,Apa itu tawaf wada’?,Tawaf wada’ adalah tawaf perpisahan yang dilakukan sebelum meninggalkan Makkah. Tawaf ini wajib kecuali bagi wanita haid atau nifas. Ada yang ingin bapak/ibu tanyakan tentang tata cara tawaf wada’? (Halaman: 93),Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
33,Bagaimana cara melaksanakan tawaf wada’?,"Tawaf wada’ dilakukan seperti tawaf biasa, mengelilingi Ka’bah tujuh kali dengan memulai dari Hajar Aswad dan diakhiri dengan doa perpisahan. Apakah ada bagian dari tawaf wada’ yang ingin bapak/ibu ketahui lebih lanjut? (Halaman: 93)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
34,Apa itu haji tamattu’?,"Haji tamattu’ adalah pelaksanaan umrah di bulan haji diikuti dengan haji pada tahun yang sama. Jamaah melaksanakan umrah terlebih dahulu, kemudian haji dengan niat baru. Apakah bapak/ibu ingin tahu lebih lanjut tentang haji tamattu’? (Halaman: 61)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
35,Bagaimana cara melaksanakan haji tamattu’?,"Cara melaksanakan haji tamattu’ adalah dengan memulai umrah pada bulan haji, setelah selesai umrah, jamaah bertahallul, dan pada tanggal 8 Dzulhijjah, jamaah berihram kembali untuk melaksanakan haji. Ada bagian tertentu dari proses ini yang ingin bapak/ibu ketahui lebih lanjut? (Halaman: 62)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
36,Apa itu haji ifrad?,"Haji ifrad adalah pelaksanaan ibadah haji tanpa umrah, dengan niat ihram hanya untuk haji sejak awal. Apakah bapak/ibu ingin penjelasan lebih lanjut tentang perbedaan haji ifrad dengan jenis haji lainnya? (Halaman: 61)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
37,Bagaimana cara melaksanakan haji ifrad?,"Haji ifrad dilaksanakan dengan memulai niat ihram untuk haji dari miqat, kemudian melaksanakan semua rukun haji tanpa melakukan umrah. Ada yang ingin bapak/ibu tanyakan lebih lanjut mengenai proses ini? (Halaman: 62)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
38,Apa itu haji qiran?,"Haji qiran adalah pelaksanaan haji dan umrah secara bersamaan dalam satu niat ihram. Jamaah melakukan umrah terlebih dahulu, tetapi tetap dalam keadaan ihram sampai selesai melaksanakan haji. Apakah bapak/ibu ingin tahu lebih detail tentang haji qiran? (Halaman: 61)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
39,Bagaimana cara melaksanakan haji qiran?,"Cara melaksanakan haji qiran adalah dengan memulai niat ihram untuk haji dan umrah dari miqat, melakukan umrah tanpa tahallul, kemudian melanjutkan dengan semua rukun haji. Ada hal lain mengenai haji qiran yang ingin bapak/ibu ketahui? (Halaman: 62)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
40,Apa syarat wajib haji dan umrah?,"Syarat wajib haji dan umrah adalah: 1) Islam, 2) Baligh (dewasa), 3) Berakal sehat, 4) Merdeka (bukan hamba sahaya), dan 5) Istit}a’ah (mampu). Apakah bapak/ibu ingin tahu lebih lanjut tentang salah satu syarat ini? (Halaman: 257)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
41,Apa yang dimaksud dengan istit}a’ah dalam ibadah haji?,"Istit}a’ah berarti mampu secara fisik, finansial, dan keamanan untuk melaksanakan haji. Termasuk memiliki bekal dan kendaraan yang cukup. Apakah ada hal lain mengenai istit}a’ah yang ingin bapak/ibu tanyakan? (Halaman: 257)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
42,Apa saja rukun haji?,"Rukun haji terdiri dari: 1) Ihram, 2) Wukuf di Arafah, 3) Tawaf Ifadah, 4) Sa’i, 5) Bercukur, dan 6) Tertib. Apakah bapak/ibu ingin penjelasan lebih detail tentang salah satu rukun ini? (Halaman: 258)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
43,Apa saja wajib haji?,"Wajib haji meliputi: 1) Ihram dari miqat, 2) Mabit di Muzdalifah, 3) Mabit di Mina, 4) Melontar jamrah, 5) Menghindari larangan ihram, dan 6) Tawaf wada’. Apakah bapak/ibu ingin tahu lebih lanjut tentang salah satu kewajiban ini? (Halaman: 258)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
44,Apa itu mabit di Muzdalifah?,"Mabit di Muzdalifah adalah bermalam atau beristirahat di Muzdalifah pada 10 Dzulhijjah setelah wukuf di Arafah. Mabit di sini hukumnya wajib dan dianggap sah bila jemaah berada di Muzdalifah melewati tengah malam. Saat mabit dianjurkan untuk banyak membaca talbiyah, dzikir, istighfar, doa, atau membaca al-Qur’an. Apakah ada hal lain mengenai mabit di Muzdalifah yang ingin bapak/ibu ketahui? (Halaman: 94)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
45,Bagaimana cara melaksanakan mabit di Muzdalifah?,"Mabit di Muzdalifah dilakukan setelah wukuf di Arafah, dimulai setelah Maghrib sampai terbit fajar 10 Dzulhijjah. Cukup berada di Muzdalifah hingga lewat tengah malam. Selama mabit, disarankan memperbanyak dzikir dan doa. Apakah ada aspek lain dari mabit di Muzdalifah yang bapak/ibu ingin tanyakan? (Halaman: 94)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
46,Apa itu mabit di Mina?,"Mabit di Mina adalah bermalam di Mina pada hari-hari Tasyriq (malam tanggal 11, 12, dan 13 Dzulhijjah). Mabit ini hukumnya wajib dan dilakukan untuk melanjutkan rangkaian ibadah haji. Ada hal lain tentang mabit di Mina yang ingin bapak/ibu ketahui? (Halaman: 95)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
47,Bagaimana cara melaksanakan mabit di Mina?,"Mabit di Mina dilakukan pada malam-malam hari Tasyriq (11, 12, dan 13 Dzulhijjah). Bagi yang mengambil nafar awal, mabit pada malam 11 dan 12 Dzulhijjah, sementara bagi yang mengambil nafar tsani, mabit pada malam 11, 12, dan 13 Dzulhijjah. Apakah bapak/ibu ingin tahu lebih lanjut tentang kegiatan selama mabit di Mina? (Halaman: 95)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
48,Apa itu melontar jamrah?,"Melontar jamrah adalah melempar batu kerikil ke arah tiga jamrah (Sughra, Wustha, dan Kubra) dengan niat untuk mengenainya. Melontar jamrah dilakukan pada hari Nahr dan hari-hari Tasyriq. Ada yang ingin bapak/ibu tanyakan lebih lanjut mengenai melontar jamrah? (Halaman: 97)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
49,Bagaimana tata cara melontar jamrah?,"Tata cara melontar jamrah adalah: 1) Kerikil mengenai marma dan masuk lubang, 2) Melontar dengan kerikil satu per satu, 3) Melontar jamarat dengan urutan yang benar, mulai dari Jamrah Sughra, Wustha, dan Kubra. Apakah bapak/ibu ingin tahu lebih detail tentang aturan ini? (Halaman: 97)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
50,Kapan waktu yang tepat untuk melontar jamrah?,"Waktu melontar Jamrah Aqabah pada 10 Dzulhijjah dimulai sejak lewat tengah malam dan lebih afdhal setelah matahari terbit. Waktu melontar jamrah pada hari-hari Tasyriq (11, 12, 13 Dzulhijjah) adalah setelah tergelincir matahari. Apakah bapak/ibu ingin tahu lebih detail tentang waktu-waktu melontar? (Halaman: 97-98)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
51,Bagaimana jika tidak mampu melontar jamrah?,"Bagi jemaah yang uzur syar’i karena sakit atau hal lain, kewajiban melontar jamrah dapat diwakilkan kepada orang lain. Orang yang mewakilkan harus melontar untuk dirinya sendiri terlebih dahulu baru untuk orang yang diwakilkan. Ada hal lain mengenai pelontaran yang ingin bapak/ibu ketahui? (Halaman: 98)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
52,Apa itu tahallul awal?,Tahallul awal adalah keadaan ketika jemaah sudah boleh melakukan sebagian larangan ihram setelah melontar Jamrah Aqabah dan bercukur. Apakah bapak/ibu ingin tahu lebih lanjut tentang tahallul awal? (Halaman: 100),Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
53,Bagaimana cara melaksanakan tahallul awal?,"Tahallul awal dilaksanakan dengan melontar Jamrah Aqabah dan bercukur. Setelah itu, sebagian larangan ihram sudah boleh dilakukan. Ada yang ingin bapak/ibu tanyakan lebih detail tentang tahallul awal? (Halaman: 100",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
54,Apa itu tahallul tsani?,"Tahallul awal adalah keadaan seseorang yang telah melakukan dua dari tiga kegiatan berikut: melontar Jamrah Aqabah, mencukur atau memotong rambut, dan melakukan tawaf ifadhah serta sa'i. Setelah tahallul awal, jemaah boleh berganti pakaian biasa dan melakukan semua larangan ihram kecuali bercumbu dan bersetubuh dengan pasangan. Ada hal lain yang ingin bapak/ibu tanyakan tentang tahallul? (Halaman: 102)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
55,Bagaimana cara melaksanakan tahallul tsani?,"Tahallul tsani adalah keadaan ketika seorang jemaah telah melakukan tiga kegiatan haji, yaitu melontar Jamrah Aqabah, memotong atau mencukur rambut, dan tawaf ifadhah serta sa'i. Setelah tahallul tsani, jemaah boleh bersetubuh dengan pasangannya. Ada hal lain tentang tahallul yang ingin bapak/ibu tanyakan? (Halaman: 103)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
56,Apa itu wukuf di Arafah?,"Tahallul tsani dilakukan setelah jemaah melontar Jamrah Aqabah, memotong atau mencukur rambut, dan melakukan tawaf ifadhah serta sa'i. Setelah tahallul tsani, semua larangan ihram menjadi tidak berlaku lagi, termasuk bercumbu dan bersetubuh. Apakah ada hal lain yang ingin bapak/ibu tanyakan tentang tahallul tsani? (Halaman: 103)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
57,Bagaimana cara melaksanakan wukuf di Arafah?,"Wukuf di Arafah adalah puncak ibadah haji yang dilakukan dengan berdiam diri di Padang Arafah pada 9 Dzulhijjah, mulai dari tergelincir matahari sampai terbenam. Wukuf ini sangat penting karena tanpa melaksanakannya, haji tidak sah. Ada hal lain tentang wukuf di Arafah yang ingin bapak/ibu ketahui? (Halaman: 93)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
58,Apa hikmah dari wukuf di Arafah?,"Wukuf di Arafah dilakukan dengan mendengarkan khutbah, melaksanakan salat Dzuhur dan Asar secara jama’ qasar, dan memperbanyak dzikir, istighfar, shalawat, serta doa. Jemaah tidak disyaratkan suci dari hadas besar maupun kecil. Apakah ada hal lain tentang wukuf di Arafah yang ingin bapak/ibu tanyakan? (Halaman: 138)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
59,Apa itu mabit di Muzdalifah?,"Hikmah dari wukuf di Arafah termasuk mengenali diri dan Allah SWT, meningkatkan kesadaran spiritual, dan memperkuat hubungan dengan Allah. Wukuf juga mengajarkan kesetaraan, introspeksi, dan taubat. Ada hikmah lain dari wukuf di Arafah yang ingin bapak/ibu ketahui? (Halaman: 187)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
60,Bagaimana cara melaksanakan mabit di Muzdalifah?,Mabit di Muzdalifah adalah bermalam atau beristirahat di Muzdalifah pada 10 Dzulhijjah setelah wukuf di Arafah. Hukumnya wajib dan dianggap sah bila jemaah berada di Muzdalifah melewati tengah malam. Apakah ada hal lain yang ingin bapak/ibu tanyakan tentang mabit di Muzdalifah? (Halaman: 94),Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
61,Apa hikmah dari mabit di Muzdalifah?,"Hikmah dari mabit di Muzdalifah adalah kesempatan untuk kontemplasi, tafakkur, tadabbur, dan mendekatkan diri kepada Allah. Tempat ini juga mengingatkan pentingnya persiapan dan persenjataan diri untuk melawan godaan setan, serta menjadi waktu terbaik untuk memohon ampunan. Apakah ada hal lain yang ingin bapak/ibu ketahui tentang mabit di Muzdalifah? (Halaman: 189)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
62,Apa itu mabit di Mina?,"Mabit di Mina adalah bermalam di Mina pada malam-malam tanggal 11, 12, dan 13 Dzulhijjah bagi jemaah yang mengambil nafar tsani, atau pada malam-malam tanggal 11 dan 12 Dzulhijjah bagi yang mengambil nafar awal. Hukumnya wajib menurut mayoritas ulama. Ada hal lain yang ingin bapak/ibu tanyakan tentang mabit di Mina? (Halaman: 95)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
63,Bagaimana cara melaksanakan mabit di Mina?,"Mabit di Mina dilaksanakan dengan cara menginap di Mina selama malam-malam hari Tasyriq, yaitu pada malam tanggal 11, 12, dan 13 Dzulhijjah. Jemaah harus menghabiskan lebih dari setengah malam di Mina. Ada hal lain yang ingin bapak/ibu ketahui tentang pelaksanaan mabit di Mina? (Halaman: 290)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
64,Apa hikmah dari mabit di Mina?,"Hikmah mabit di Mina termasuk memperbanyak ibadah seperti takbir, dzikir, dan doa, serta menghayati perjalanan Rasulullah SAW dan para nabi. Mabit ini juga mengajarkan kesabaran dan ketundukan kepada Allah. Apakah ada hikmah lain yang ingin bapak/ibu ketahui? (Halaman: 191)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
65,Apa itu melontar jamrah?,"Melontar jamrah adalah melontar batu kerikil ke arah jamrah Sughra, Wustha, dan Aqabah dengan niat mengenai objek jamrah dan kerikil masuk ke dalam lubang marma. Melontar jamrah dilakukan pada hari nahar dan hari tasyrik. Ada hal lain tentang melontar jamrah yang ingin bapak/ibu tanyakan? (Halaman: 97)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
